Text,Religious#Icon,Religious#Practices,Religious#Place,God,Religious#Group
নশাআল্লাহ জয় একদিন ফিলিস্তিনি মুসলমান দের হবেই হবে,2,2,1,2,1
হামাসের হাত ধরেই একদিন ফিলিস্তিন সাধীনতা লাভ করবে ইনশাআল্লাহ,2,2,1,2,2
আল্লাহু আকবার আল্লাহু আকবার! আল্লাহর কোরআন ১০০% সত্য সত্য সত্য,2,2,2,1,2
"যারা ইসলামী রাষ্ট্র প্রতিষ্ঠার জন্য ইহুদী নাসারাদের বিরুদ্ধে জিহাদ করে,তাদের আল্লাহ গায়েবী সাহায্যের মাধ্যমে,বড় বড় দলের সাথে তাদের আল্লাহ বিজয়ী দান করেন।",2,2,2,1,1
আল্লাহ আপনি ফিলিস্তিনের সকল মুজাহিদ ভাই বোন শিশু দের হেফাজত করেন,2,2,1,1,2
"আল্লাহু আকবর, এটাই ইসলামের সুন্দর দিক হচ্ছে",2,2,2,1,1
সুকুর আলহামদুলিল্লাহ আল্লাহর কাছে সুকরিয়া।,2,2,2,1,2
আল্লাহ যাকে সন্মান দেবেন তাকে পৃথিবীতে কেউ অসম্মান করতে পারবে না,2,2,2,1,2
আল্লাহ আমাদের একা ছেড়ে দিবেন না।,2,2,2,1,2
আল্লাহ উওম পরিকল্পনা কারি।,2,2,2,1,2
আল্লাহ চায় তো ফিলিস্তিন স্বাধীন রাষ্ট্র।,2,2,1,1,2
"আল্লাহ ইউ ইউ সদস্যগুলোকে হেদায়েত, বরকত ও রহমত দান করুক, আমিন।",2,2,2,1,2
ফিলিস্তিনের স্বাধীনতার এখন সময়ের ব্যাপার,2,2,1,2,2
সমস্ত নিরহ মুসলমানদের দোয়া আছে হামাসের প্রতি। মহান আল্লাহ রব্বুল আলামীন যেন হামাসের সহায় হয় আমিন।,2,2,2,1,1
সত্যি কথা বলতে কি সত্যের পথে যারা সব সময় থাকেন আল্লাহ থাকেন তাদের সাথে,2,2,2,1,2
সুবাহানাল্লাহ আলহামদুলিল্লাহ আল্লাহু আকবার,2,2,2,1,2
সলমান সবচেয়ে সন্মানিত জাতি আল্লাহর মুসলিম জাতির জন্য সব চাইতে বেসি সম্মান দিয়েছে,2,2,2,1,1
আলহামদুলিল্লাহ ! মহান আল্লাহ তায়া’লা হলেন মহা কৌশলী সু-নিপুণ কারিগর !,2,2,2,1,2
আলহামদুলিল্লাহ ইউ এন এর কথা শুনে খুব ভালো লাগলো আল্লাহ যেন এমনটাই করে,2,2,2,1,2
এক মাত্র দেশ কাতারই ফিলিস্তিনের পহ্মে আছে।,2,2,1,2,2
আল্লাহ তাআলা যাদেরকে পৃথিবীতে সাহায্য করবেন করবেন তাদেরকে কেউ হারাতে পারবে না,2,2,2,1,2
নিশ্চয়ই আল্লাহ তাআলা উওম পরিকল্পনাকারী।,2,2,2,1,2
আল্লাহর দিকে তাকিয়ে আছি,2,2,2,1,2
"ও আল্লাহ, তুমি ওমর কে লম্বা হায়াত দান করুন,যারা ওমর কে সাহায্য করেছে, তাদের প্রতি রহমত বর্ষণ করুন, ফিলিস্তিন কে বিজয় দান করুন",2,2,2,1,2
এটাই এক মুসলিম আরেক মুসলিমের ভালোবাসা,2,2,2,2,1
তুরস্ক ওকে যত্ন করে রেখেছে। এটাই এক সময় ফিলিস্তিনের জয়ে অবদান রাখবে ইন শা আল্লাহ,2,2,2,2,2
আল্লাহ তুমি ফিলিস্তিনের উপরে রহমত নাযিল করো,2,2,2,1,1
আলহামদুলিল্লাহ। মুসলমানদের এমন সফলতা শুনলে বুকটা গর্বে ভোরে যায়।,2,2,2,2,1
এমন মুসলিম ভাই আরও প্রয়োজন মুসলিম উম্মাহর জন্য।,2,2,2,2,1
মহান আল্লাহ ফিলিস্তিন ও তুরস্কেকে রহম করুন সেই সাথা মুসলমানদের জন্য জাদের মন কাঁদে তাদেরকেও।,2,2,1,1,1
আলহামদুলিল্লাহ আলহামদুলিল্লাহ আলহামদুলিল্লাহ আল্লাহ ওমর ভাই সহ সকল মুসলিম জাতিকে সমস্ত বালামসিবত থেকে হেফাজত করুন আমীন,2,2,2,1,1
আলহামদুলিল্লাহ আলহামদুলিল্লাহ তুরস্ককে অনেক ধন্যবাদ বাংলাদেশের প্রত্যেকটা মানুষ তুরস্ককে পছন্দ করে এবং ফিলিস্তিনি স্বাধীন রাষ্ট্র তাদের পাশে সব সময়,2,2,1,2,2
"আলহামদুলিল্লাহ। অনেক মেধাবী একজন মানুষ বেচেগেছে,,,,ফিলিস্তিনের জয়হোক",2,2,1,2,2
কঠিন সিদ্ধান্ত এ রকম পদক্ষে ইউরোপের আরো বাকি দেশ গুলোতে নেওয়া উচিত বলে আমি মনে করি।,2,2,1,2,2
ভারতের পক্ষ থেকে পূর্ণ সমর্থন ও শুভেচ্ছা এই মানুষটি সত্যবাদী সাহসী নুপুর শর্মাকে পুরোপুরি সমর্থন দিয়েছিল,2,2,1,2,2
হে আল্লাহ এই তেল উৎপাদন কারী মুসলিম দেশ গুলো কে এক করে দাও এবং মুসলিমদের পাশে দাঁড়ানোর তাওফীক দান করুন আমিন।,2,2,1,1,1
আল্লাহ তুমি ইরানের আরও শক্তি সঞ্চয় করবার তৌফিক দান করুন ও মুসলিম শাসকদের এক হওয়ার তৌফিক দান করুন আমিন,2,2,1,1,1
সৌদি নিষেধাজ্ঞা দিলে দালালি করবে কে ? আরবরা চাইলেই ফিলিস্তিন সমস্যার সমাধান হতো অনেক আগেই ।,2,2,1,2,1
এটা করা প্রতিটি মুসলিম দেশ এর ঈমানী দায়িত্ব,2,2,1,2,1
সৌদি যুবরাজের আরো আগে এই পদক্ষেপ গ্রহণ করা উচিত ছিল ধন্যবাদ সৌদি যুবরাজ আল্লাহ্ স্য়ং আছেন আপনার পাশে,2,2,1,1,2
মধ্যপ্রাচ্যের সুপার পাওয়ার ইরানের উচিত আজারবাইজান ও খাজা কাস্তান সহ সৌদি আরব কে ভাগে এনে তৈল রপ্তানি বন্ধ করে দেয়া তা হলেই ইহুদিদের উচিত শিক্ষা হবে,2,2,1,2,1
"আলহামদুলিল্লাহ, ইসলাম জিন্দাবাদ ফিলিস্তিন জিন্দাবাদ ইসরায়েল মুর্দাবাদ!",2,2,1,2,2
নিষেধাজ্ঞা সবার দেয়া উচিত। সব মুসলমান এক মানবশরীরের মতো,2,2,2,2,1
আল্লাহ পাক এর ইচ্ছায় উনি যদি বাংলাদেশের প্রধান মুনএী হতো তাহলে দেশে শান্তি হতো,2,2,2,1,2
আল্লাহ তুমি সঠিক পথে চলার তৌফিক দান করুন,2,2,2,1,2
"কাতার সরকারকে অনেক ধন্যবাদ, আল্লাহ ফিলিস্তিনি মুসলমানদের সাহায্য করুন, আমীন।",2,2,1,1,1
"কাতারের আমির কে সারা মুসলিম জাতির পক্ষ থেকে হাজার সালাম/অভিনন্দন,আল্লাহ ফিলিস্তিনের জনগণের মুক্তি দাও",2,2,1,1,2
"কাতারের বলিষ্ঠ পদক্ষেপ প্রসংশার যোগ্য। আল্লাহ তাদের মাধ্যমে যুদ্ধ বিরতির ব্যবস্থা করে দিন,আমিন।",2,2,1,1,2
"সম্মান,ভালোবাসা এ গুলো আল্লাহর রহমতে হয়। যা সবার ভাগ্যে নসিব হয় না।",2,2,2,1,2
"ফিলিস্তিনের পক্ষে প্রতিবাদ করে যাচ্ছেন ইহুদিদের কিছু অংশ, দিচ্ছেন ধর্মের যুক্তি",2,2,1,2,1
"ইহুদী ধর্মযাজক একদম সত্য বলেছে,,,তিনি যেটা বলেছেন ধর্মীয় ভাবে সেটাই আছে,,",2,2,2,2,1
বিগত ১৫০ বছর আগেও মুসলিম এবং ইহুদীরা একসাথে বসবাস করত,2,2,2,2,1
"মানুষ মানুষের জন্য, সে হিন্দু মুসলিম ইহুদি বা বৌদ্ধ খ্রিস্টান হোক,মানুষ মানুষই",2,2,2,2,1
এখনো কিছু ইহুদী আছে যাদের মন রয়েছে,2,2,2,2,1
ইহুদি আমাদের পুর্ব বর্তী নবীর উম্মত,1,2,2,2,1
"ইহুদিদের সাথে আমাদের শত্রুতা নেই, জায়োনিস্ট দের সাথেই শত্রুতা",2,2,2,2,1
"যেই ধর্মেরই হোক না কেন, মানুষের মতো মানুষ হলে সে অবশ্যই অন্যায়ের বিরুদ্ধে কথা বলবে",2,1,2,2,2
যেসকল মানুষ তাদের পবিত্র ধর্মগ্রন্থ পড়েছে তারা কখনো অন্য ধর্মের মানুষকে ঘৃণা চোখে দেখবে না,2,1,2,2,1
সহমত.. ধর্মগুরু সত্যি কথা বলেন। ধন্যবাদ আপনাকে।,1,1,3,2,2
ভালো মানুষ আছে বলেই পৃথিবী টিকে আছে,2,2,2,2,2
আপনাদের মাধ্যমে ইহুদি সমপর্কে অনেক কিছু জানতে পারলাম। ধন্যবাদ,2,2,2,2,1
এরাই হচ্ছে সত্যিকারের ইহুদী,2,2,2,2,1
আল্লাহ্ অনেক আগের কোরআনে বলে দিছে কিছু ইহুদি আছে তারা সত‍্য কথা বলে এবং তারা সত‍্য পথে চলে,2,2,2,1,1
এই ধর্ম যাজক হলো খুবই ভালো মনের মানুষ।।।,1,2,2,2,2
তারা আমাদের থেকে বেশি কুরআন নিয়ে গবেষণা করে।,2,1,2,2,2
হকপন্থি ইহুদি খৃষ্টান,2,2,2,2,1
কিছু সংখ্যক ইহুদিরা আছেন যারা ঈসা (আঃ) সাথে ইসলাম গ্রহন করবেন,1,1,2,2,1
এই ধর্ম গুরু কে ইরান এ বসবাস করার বন্দোবস্ত হোক.,1,2,1,2,2
ফিলিস্তিনি এক শিশুর গরম ভাষণ চমকে উঠেছে বিশ্ব মুসলিম নেতারা,2,2,1,2,1
বর্তমান বিশ্বে তথ্য-প্রযুক্তিতে অন্য অনেকের চাইতে এগিয়ে ইসরাইলি ইহুদিরা,2,2,1,2,1
ঈসা আলাই ওসসালাম আমাদের নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের উম্মত হিসাবে আসবে ইনশাআল্লাহ দুনিয়া তে,1,1,2,2,2
"তাদের ভাগ্য ভালো হতো যদি আল্লাহ মুসলিম বানিয়ে দিত, কালেমায় বিশ্বাস এনে মুসলিম হত",2,2,2,1,1
পর্দা ঐ নারীই করে যে নিজেকে মূল্যবান মনে করে। মহান আল্লাহ তাআলা আমাদের বোনদের আল্লাহর নির্দেশ পালন করার তৌফিক দান করুন,2,1,2,1,2
বাইবেলের পুরোনো নিয়ম এবং নতুন নিয়মে পর্দা সম্পর্কে কঠোর ব্যবস্থা বলা হয়েছে।,2,1,2,2,2
বাইবেলের পুরনো নইয়ম অর্থাৎ তাওরাতের ধর্মীয় ও পর্দা বিষয়ে কঠোরতা রয়েছে ইসলাম ধর্ম থেকে বেশি কঠোর।,2,1,2,2,2
বাইবেলের পুরনো নইয়ম অর্থাৎ তাওরাতের ধর্মীয় ও পর্দা বিষয়ে কঠোরতা রয়েছে ইসলাম ধর্ম থেকে বেশি কঠোর,2,1,2,2,2
বর্তমান বিশ্বে তথ্য-প্রযুক্তিতে অন্য অনেকের চাইতে এগিয়ে ইসরাইলি ইহুদিরা।,2,2,1,2,1
"একজন ইহুদী পর্দা করতে পারলে, আপনি মুসলমান হয়ে কেন পারবেন না।",2,1,2,2,1
আমেরিকার মতো মোড়ল দেশকেও পা ফেলতে হয় ইসরাইলের স্বার্থ বিবেচনায় রেখে।,2,2,1,2,2
কিছু মুসলিম নারীদের থেকে কিছু ইহুদি নারীরা অনেক ভাল।,2,1,2,2,1
সাবরিনা কাজী ইহুদিরা পর্দা করলেও তুমি করো না তাহলে বুঝা গেল তুমি,2,1,2,2,1
"তে দেখাইতাছেন ইহুদি পর্দা, ঢিলে পোশাক পড়ে... অথচ আপ্নার নিজের মধ্যে ১ টাও নেই",2,1,2,2,1
কতই না ভালো হত যদি তারা তাদের সৃষ্টি কর্তা কে বিশ্বাস করে ইমান আন তো,2,1,2,1,2
ইহুদি হয়ে হিজাব পরে আর আপনি মুসলিম হয়ে হিজাব পরেন না কেনো?,2,1,2,2,1
মহান আল্লাহ্ সুবহানাহু তা'য়ালার জন্যই ডাঃ জাকির নায়েক কে ভালোবাসি।,1,2,2,1,2
আপা আপনি অনেক সুন্দর উপস্থাপন করেছেন আললাহ আপনাকে হেফাজত করবেন আখেরাতে পুরস্কৃত করবেন আমিন,2,2,2,1,2
পর্দা ঐ নারীই করে যে নিজেকে মূল্যবান মনে করে। মহান আল্লাহ তাআলা আমাদের বোনদের আল্লাহর নির্দেশ পালন করার তৌফিক দান করুন।,2,1,2,1,2
বোন আপনার জন্য ও পর্দা করা উচিৎ,2,1,2,2,2
"এখন পর্যন্ত আল্লাহর কাছে যে দোয়া করেছি তিনি কবুল করেছেন| আলহামদুলিল্লাহ ,,",2,2,2,1,2
জ্ঞানী শুধু একমাত্র আল্লাহই করতে পারেন কোন কিছু করে কাউকে জ্ঞানী করা যায় না শুধুমাত্র অভ্যস্ত করা যায়,2,2,2,1,2
কাউকে অতীতের গুনাহ নিয়ে খোটা দিও না ! সে হয়তো তওবা করে আল্লাহর কাছে তোমার থেকেও উত্তম হয়ে গেছে,2,1,2,2,2
শায়েখের কথা গুলো শুনলে দিলটা ঠান্ডা হয়ে যায়,1,2,2,2,2
কথাগুলো খুব সুন্দর। আমি তার প্রতিটি কথার ফজিলত হাতে নাতে পেয়েছি,2,2,2,2,2
আমার জীবনে আমি কতবার হচুট খেয়েছি আর আমি আমার আল্লাহ পাক এর কাছে বলেছি আর আমার আল্লাহ আমাকে বিপদ থেকে ঊর্ধ্বার করেছেন তাই আমি আমার আল্লাহ পাক এর দরবারে শুকরিয়া আদায় করি যে আমার আল্লাহ কত মহান আর কত দয়ালু লা ইলাহা ইল্লাল্লাহু এক আল্লাহ,2,2,2,1,2
"শীঘ্রই তোমার রব তোমাকে এত দিবেন যে, তুমি খুশি হয়ে যাবে। সূরা দ্বোহা",2,1,2,1,2
"যে গুলো বিষয়কে আল্লাহ পূর্ব থেকেই ফিক্সড করে রেখেছেন, আল্লাহ সে গুলোকেও পুনরায় পরিবর্তন করতে পারেন। আল্লাহ সব পারেন",2,2,2,1,2
আল্লাহ কত মহান আল্লাহ কে আমরা কেমনে ভুলে যায় আমরা কত পাপ করি,2,2,2,1,2
আল্লাহ মানুষকে মুক্ত মনে পাঠিয়েছেন এটা পরিক্ষার জায়গা।,2,2,2,1,2
"আমি জীবনে যতবার বিপদে পড়েছি,আমার আললাহ কে আমি ডাকার মত ডেকেছি,এবং আমার আললাহ আমাকে ঐসকল বিপদ হতে কিভাবে যেন রক্ষা করেছেন,আমি বুঝতে ও পারিনি।",2,2,2,1,2
তাকদীর ভাগ্য সব আল্লাহর হুকুম থেকে আসে রাইট কথা বলেছেন মানুষের দোয়ার মাধ্যমে ভাগ্য পরিবর্তন হয়।,2,1,2,1,2
আল্লাহর রহমতে আমার দোয়া আল্লা কবুল করছেন এবং আমার মনে শান্তি দান করছেন,2,2,2,1,2
"আল্লাহ পৃথিবীতে পাঠিয়েছেন নিশ্চয়ই ভালো কিছু রেখেছেন আমার জন্য, একটু দেরিতে হলেও সফল হতে পেরেছি,,আল্লাহর কাছে হাজার শুকরিয়া আল্লাহ অতি দয়ালু,,আলহামদুলিল্লাহ",2,2,2,1,2
"আমার জীবনে যতবারই বড় ধরনের সমস্যা পরছি,আল্লাহর সাহায্য পেয়েছি, যা আমি ভাবতেই পারিনি",2,2,2,1,2
আপনার আল্লাহতালার উপর ভরসা রাখুন ইনশাআল্লাহ আপনারা যা চাইবেন তাই পাবেন,2,2,2,1,2
একমাত্র আল্লাহ্ তালাই অসম্ভবকে সম্ভব করেন বান্দার তওবা ও দুয়ার মাধ্যমে। আসুন জামাতে নামাজ পড়ি।,2,1,2,1,2
আল্লাহ যাকে যে উদ্দেশ্যে সৃষ্টি করেছেন তার জন্য সে ধরণের আমল সহজ করে দিয়েছেন,2,2,2,1,2
মানুষ এবং জ্বীন নিজের ইচ্ছা অনেক কিছু করতে পারে তাই তার দোষ গুন অনুযায়ী বিচার হবে। আর আল্লাহর কাছে দোয়ার মাধ্যমে তকদীর পরিবর্তন করা যায় যদি মহান আল্লাহ কবুল করেন,2,2,2,1,2
জান্নাত জাহান্নাম আল্লাহ্‌ কারো ভাগ্যে লিখে রাখেননি। এইটা যার যার আমল চেষ্টা অনুযায়ী। এবং আল্লাহ্‌ যাকে ইচ্ছে হয় তাকে জান্নাতে নিবেন।,2,2,2,1,2
আপনাকে আমি আগে চিনতাম না কিন্তু আল্লাহ আপনাকে আমার কাছে চিনিয়ে দিলেন আপনি গুম হওয়ার মাধ্যমে,2,2,2,1,2
মালিক আজকের এই সময় তুমি জান তুমি ছাড়া কেও নাই।,2,2,2,1,2
আমরা যা মন মতো করি আল্লাহ শুধু তা লিখে রাখছেন আগে থেকেই সুতরাং পরোক্ষভাবে আমরা ইচ্ছামত সব করতে পারি কিন্তু তা আল্লাহ আগে থেকেই জানেন যে আমরা কি করব সেটাই তিনি লিখে রেখেছেন সেটাই তাকদীর,2,2,2,1,2
রহিম তুমি রাহমান মালিক হেপাযত কর।এক মুহুরতে তুমি সব নিয়ে নিতে পার।আবার ফিরেএ দিতে তোমার সময় লাগে না।,2,2,2,1,2
মানুষ যা করবে আল্লাহ তা আগে থেকে জানেন বলে লিখে রেখেছেন,2,2,2,1,2
"আলহামদুলিল্লাহ,এতো ভাগ হওয়ার পরেও আজ আমরা কোন দলে বিভক্ত না,আমরা হাদিস ও কুরআন জেনে ও মেনে একমাত্র ইসলাম ধর্মই পাই।",2,2,2,1,1
আমি যেন তাকদিরে বিশ্বাসী হতে পারি আর এই অবস্থা থেকে বের হতে পারি আল্লাহ সেই তৌফিক দান করুন।,2,2,2,1,2
মহান আল্লাহ তায়ালা যে আমাকে মুসলিম হিসেবে জন্ম গ্রহণ এর মাধ্যমে পৃথিবীতে পাঠিয়েছেন তার জন্য আলহামদুলিল্লাহ,2,2,2,1,2
আল্লাহ চাইলে হায়াত বরকত রিজিক সব বাড়াতে বা কমাতে পারে৷,2,2,2,1,2
আলহামদুলিল্লাহ আল্লাহু রহমানু সর্বশ্রেষ্ঠ দয়ালু ক্ষমাকারী আমার জীবনে প্রমাণিত,2,2,2,1,2
নিস্তিত মৃত্যু থেকে আল্লাহ আপনাকে ফিরিয়ে দিয়েছেন আলহামদুলিল্লাহ।আল্লাহ আপনাকে নেক হায়াত দান করুন।,2,2,2,1,2
আলহামদুলিল্লাহ গুরুত্বপূর্ণ আলোচনা আল্লাহ আপনাকে উত্তম বারাকা দান করুন।,2,2,2,1,2
ইনশাআল্লাহ আমি ওনাকে আমার এলাকায় এনে ওয়াজ পড়ানোর চেষ্টা করব ইনশাআল্লাহ,2,2,2,2,2
আমি আমার এই চ্যানালে পবিত্র কুরআনের সেই সব বিষয় তুলে ধরব যাহা অনেক গুরুত্বপূর্ণ কিন্তু সেই সব বিষয় তেমন আলোচনা হয় না,2,2,2,2,2
আমরা সব সময় নেত্রীর জন্য দোয়া করি আল্লাহ সাহায্য করুন,2,2,2,1,2
"মেসি নয়,রোনালদো নয়, নেয়মার নয়,,,,আল্লাহর জন্য আপনাকেই ভালোবাসি",2,2,2,1,2
পৃথিবীর সব দেশের বাচ্চারা সব জায়গায় বিচার পায় কিন্তু আমাদের ফিলিস্তিনের বাচ্চারা কার কাছে বিচার দেবে। শুধু একমাত্র আল্লাহই সাহায্য করতে পারেন,2,2,1,1,2
খুব ভাল লাগল ইহুদী ও খৃষ্টান ধর্মের বিষয় আলোচনা।,2,2,2,2,1
অভিশপ্ত ইয়াহুদী জাতির হাত থেকে ফিলিস্তিনের মা ও বোনদের কে হেফাজত করুন মহান আল্লাহ তাআলা,2,2,1,1,1
দাজ্জালের জন্ম হয়ে গেছে শুধু আত্নপ্রকাশ বাকী,1,2,2,2,2
"শক্তিশালি বক্তব্য, এই একটা বক্তব্যই নাস্তিকদের জন্য যথেষ্ট এবং মুসলিম দের একতা ও ঈমানের বৃদ্ধির জন্য যথেষ্ট",2,2,2,2,1
হে আল্লাহ আপনি আমাদের এই দাজ্জালের ফিতনা থেকে হেফাজত করুন আমিন,1,2,2,1,2
ভাইয়া আপনার যুক্তিযুক্ত ইসলামি কথা আমার অনেক ভালোলাগ,2,2,2,2,1
আলহামদুলিল্লাহ আমি তাদের ভক্ত যারা আল্লাহর কুরআন রাসূল সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম সাল্লাল্লাহু আলাই সালাম এর হাদিস ইসলামের অনুসরণকারীদের ভক্ত,1,2,2,1,2
"শিয়াদের নিয়ে বড় একটা আলোচনা চাই যাতে আমরা সাধারন জনগন বুজতে পারি ভাল মত,",2,2,2,2,1
আমি খ্রিস্টান ✝️ এবং আমি মুসলমানদের সম্মান করি ☪️ ❤ দুই ধর্মের মধ্যে শান্তি,2,2,2,2,1
আমি পাকিস্তানের একজন মুসলিম এবং আমি সত্যিই খ্রিস্টান ধর্মকে সম্মান করি,2,2,2,2,1
আমি একজন মুসলিম আমি সম্মান করি আল্লাহ আমাকে যা দিয়েছেন,2,2,2,1,1
"আমি মুসলিম কিন্তু আমি খ্রিস্টানকে ভালোবাসি। আমরা মানুষ, আমরা একা কিছু করতে পারি না",2,2,2,2,1
অন্য লোকেদের বিশ্বাস এবং ধর্ম সম্পর্কে জানা ভাল যাতে আমরা একে অপরকে আরও ভালভাবে বুঝতে পারি।,2,2,2,2,1
একজন মুসলিম হিসেবে আমি বিশ্বের সকল ধর্মকে সম্মান করি,2,2,2,2,1
আমি জন্মগতভাবে বৌদ্ধ কিন্তু আমি আমার প্রতিবেশীদের সাথে গির্জায় গিয়ে বড় হয়েছি এবং গির্জাই প্রথম যেখানে আমি গান গাইতে শুরু করি এবং পরে এটি আমার আবেগ হয়ে ওঠে।,2,2,2,2,1
"আমি ক্যাথলিক, এবং ইসলামের সমৃদ্ধ ইতিহাস/ঐতিহ্য সম্পর্কে শিখতে ভালোবাসি। সবার জন্য শান্তি",2,2,2,2,1
"হিন্দু এবং মুসলমানদের একে অপরকে জানা উচিত, একে অপরকে সম্মান করা এবং একে অপরকে ভালবাসা উচিত।",2,2,2,2,1
ইসলামের প্রতি আমার শ্রদ্ধা হিন্দু ধর্মের প্রতি মুসলমানদের শ্রদ্ধার সরাসরি সমানুপাতিক,2,2,2,2,1
দীপাবলি প্রতি বছর অনুষ্ঠিত হয় এবং হিন্দু নববর্ষের সূচনা করে পাঁচ দিন স্থায়ী হয়।,2,1,2,2,1
হিন্দু ধর্ম হল সমস্ত প্রতিষ্ঠিত বিশ্বাস ব্যবস্থার মধ্যে প্রাচীনতম,2,2,2,2,1
বিবাহ হিন্দুদের জন্য একটি শক্তিশালী এবং তাৎপর্যপূর্ণ প্রতিষ্ঠান হয়ে চলেছে,2,1,2,2,1
হিন্দু সমাজে পরিবারের বয়স্ক সদস্যদের জন্য অত্যন্ত সম্মান রয়েছে।,2,2,2,2,1
যুক্তরাজ্যের লিসেস্টার শহর ভারতের বাইরে সবচেয়ে বড় দীপাবলি উদযাপন করে।,2,1,1,2,2
বাঙালি হিন্দু লোকরা কবিতা ও সাহিত্যে অবদান রেখেছে।,2,2,2,2,1
হিন্দু লোকের দর্শন অত্যন্ত উন্নত।,2,2,2,2,1
পুজোয় প্রদত্ত ভোজন অত্যন্ত সুস্বাদু।,2,1,2,2,2
দেবী সরস্বতী শিক্ষার দেবী,2,1,2,1,2
হিন্দু লোকের ধর্মে আদর্শ ও সদাচরণ উচ্চ মান্যতা পায়।,2,2,2,2,1
হিন্দু আচার্য রবীন্দ্রনাথ ঠাকুর একটি মহান সংগীত শিল্পী ছিলেন।,2,2,2,2,1
স্বাধীন ভারতের প্রথম প্রধানমন্ত্রী পন্দিত জওহরলাল নেহরু একজন হিন্দু ছিলেন।,1,2,2,2,1
হিন্দু পুরাতাত্ত্বিক অধ্যায়ন দেশে প্রসারিত।,2,1,2,2,1
দুর্গা পুজোয় পুজোদের প্রতি সহানুভূতি এবং সম্মান প্রদান হয়।,2,1,2,2,2
গীতা হিন্দু লোকের ধর্মীয় প্রজ্ঞান এবং আদর্শের গ্রন্থ।,2,1,2,2,1
ভারতীয় হিন্দু লেখক ও দার্শনিক বিশ্বে প্রশংসিত।,2,2,1,2,1
হিন্দু ধর্মে দরিদ্রদের সাথে সহানুভূতি এবং সেবা গুরুত্বপূর্ণ।,2,2,2,2,1
হিন্দু লোকের ধর্মে সামাজিক সমর্থন এবং আদর্শ উন্নতি দেওয়া হয়।,2,2,2,2,1
ভারতীয় হিন্দু লোকের ধর্মে ব্যক্তিগত এবং সামাজিক শিক্ষা মূল মূল্য।,2,2,1,2,1
হিন্দু ধর্মে শান্তি এবং আত্মসমর্পণ শিক্ষা প্রদান হয়।,2,2,2,2,1
হিন্দু লোকের ধর্মে জীবন এবং মৃত্যুর দর্শন ব্যাপক।,2,2,2,2,1
"দেবী দুর্গা, লক্ষ্মী, সরস্বতী হিন্দু লোকের মাতৃদেবী মান্যতা পায়।",2,2,2,1,1
হিন্দুধর্মে ধার্মিক স্বীকৃতির মাধ্যমে সমাজের ন্যায় এবং ন্যায়ব্যবস্থা প্রবৃদ্ধি করা হয়।,2,2,2,2,1
"হিন্দুধর্মে শিক্ষার উচ্চ মান প্রশংসা পায়, এবং শিক্ষা একটি ব্যক্তির বৃদ্ধি এবং সমাজের উন্নতির জন্য গুরুত্বপূর্ণ মাধ্যম হয়",2,2,2,2,1
হিন্দুধর্মে বিভিন্ন মতবাদ এবং পর্যায়ের লোক বসে থাকে এবং পরস্পরের সহানুভূতি এবং সহকর্মীতা প্রশংসা করে।,2,2,2,2,1
"হিন্দুধর্মে প্রকৃতি এবং পরিবেশের সমর্থন দেওয়া হয়, এবং পরিবেশের সংরক্ষণে বিশেষ গুরুত্ব দেওয়া হয়।",2,2,2,2,1
হিন্দুধর্মে ভাল কাজ করা এবং ধর্মিক দান দেওয়া একটি গুরুত্বপূর্ণ দেওয়া প্রাচীন শিক্ষা।,2,2,2,2,1
হিন্দুধর্মে গ্রামীণ এবং নাগরিক জীবনের সাথে সমন্বয় এবং সমরাস প্রচুর।,2,2,2,2,1
"আমি নিজে একজন হিন্দু, কিন্তু আমি এখনও বিশ্বাস করি প্রতিটি ধর্ম থেকে জীবনের শিক্ষা রয়েছে",2,2,2,2,1
ভালো এবং জনকল্যাণ কাজ করতে বলছে গীতা,2,1,2,2,2
ভগবৎ গীতায় আছে -ধ্যান করলে মানুষের উপকার হয়।,2,1,2,2,2
"কখনো কোনও রকম আশা বা কামনাকে, প্রশ্রয় দিলে লক্ষ্যভ্রষ্ট হওয়ার সম্ভাবনা বেশি থাকে।",2,2,2,2,2
এই পৃথিবীতে সব কর্ম ঈশ্বরে নিবেদিত ঈশ্বরকে মনে রেখে কাজ করে যেতে,2,2,2,1,2
ভয় না পেয়ে ভালো কাজের জন্য যা করা উচিত তা করে যেতে হবে,2,2,2,2,2
"সব কিছুরকিছুর স্বাক্ষী ঈশ্বর, ভালো কাজ বিফলে যায় না।",2,2,2,1,2
হিন্দুধর্ম ভারতীয় উপমহাদেশীয় ধর্ম বা জীবনধারা,2,2,1,2,1
"হিন্দু ধর্মবিশ্বাসের প্রধান উপাদানগুলি হল: ধর্ম, সংসার , কর্ম, মোক্ষ ও বিভিন্ন যোগ",2,2,2,2,1
প্রকৃতপক্ষে হিন্দুধর্মাবলম্বীগণ প্রত্যেক দেবতাকে ঈশ্বরের এক একটি করে বিশেষ জ্ঞান বা প্রাকৃতিক শক্তির প্রকাশক বলে মনে করেন।,2,2,2,1,1
"কর্মের আক্ষরিক অর্থ হল কার্য, ক্রিয়া অথবা করণ এবং বলা যেতে পারে এটি হল ""কারণ এবং করণের (কার্যের) নৈতিক ধর্ম""।",2,2,2,2,2
